3DEACAF4   3F718B16
BF398916   BF2F9CF6
BEE809BA   3F647DE6
3F7AB692   3E3B5F14
BDE1678B   BF7CB670
BF6B739E   3ECA970E
3F24E396   3F453FB6
3F0AF0B8   BF570308
BF77D3EC   BE878042
3CF89990   3F80BBCE
3F718E50   BEA5014E
BF174CF4   BF4C8749
BF17B8B6   3F4E1252
3F70BAAF   3EA9D19E
3CEE01F0   BF7E8F5F
BF77140C   3E8F1F1B
3F0E9152   3F5710B8
3F1F24B6   BF488E07
BF70EAD5   BEAFD9DC
BD30FD60   3F806486
3F755CB1   BE853D61
BF0C206F   BF536FF1
BF2013D9   3F481714
3F6EDD44   3EB7D8BD
3D2757E8   BF7F189F
BF77D302   3E91ADFD
3F124073   3F55353F
3F18B215   BF4C952E
BF73B1F0   BE9ABF57
3BDD4F80   3F802E65
3F6FDCA0   BEA1819B
BF1B3D64   BF484141
BF0F2183   3F55F768
3F7785F8   3E88B896
BD9C94FC   BF7F33EC
BF6D524E   3ED2B8D3
3F2ECE05   3F3E7DF0
3EEC314E   BF606722
BF7C6EFC   BE0CFDBA
3E354770   3F7BA3B0
3F5BA19B   BEF47F03
BF4065EC   BF257782
BEC14FA2   3F714825
3F80A324   3D4046C0
BEA4BA2C   BF734E27
BF4C2DFF   3F24A1BF
3F59CE80   3F09424C
3E4191B3   BF74FDD9
BF7B2083   3E2039E0
3EE2BDE9   3F63531A
3F2A08C1   BF32EBCB
BF6E5321   BEBFCB38
BD86E298   3F858010
3F76702F   BE982C34
BF30DCAE   BF41EF83
BF012133   3F706303
3F6E6D0E   3E1EBC50
BE8C0CBF   BF57D7D9
BF65E14D   3EF1E0D6
