3DEACAF4   BF718B16
3EC046DA   BF6D4DAC
BEA96487   BF711120
BF5CB276   BEFC6BBA
BF7B3F48   3E40D5FA
BF1EDD06   3F4A7F21
3D3456B8   3F800565
3F2D776A   3F3CDB4C
3F7FB97C   3DF8578C
3F549956   BF0E40D0
3E8CE683   BF7423D8
BED1D4BC   BF6903DD
BF67EB7E   BED7CFBE
BF75CEF6   3E853D3D
BF13B7F9   3F51D91F
3DB6E060   3F80AD67
3F353716   3F3572CE
3F7E8E1E   3DCEBB88
3F54D238   BF1018C8
3E89CA54   BF756FA8
BECC08C8   BF67CAC4
BF64A704   BEE53FDC
BF79836F   3E7010AC
BF1A8E7D   3F4B3795
3CD455A0   3F80BB09
3F29F39D   3F438350
3F7C09D2   3E2EA444
3F5FB1A6   BEF43576
3EBFA6CB   BF6DD812
BE9B4E15   BF71CB40
BF5281D6   BF0BD401
BF7FCC60   3DBDB164
BF36F64D   3F35A504
BDFB515A   3F7DDC64
3F041A7C   3F5E6574
3F736474   3EB3BE4E
3F716DDD   BE9E54AB
3F0E97CD   BF51AAF7
BDB2A0C4   BF7F158D
BF305701   BF34BD14
BF79DB94   BE10570C
BF609D9F   3F0201F3
BEBA07BC   3F720FD7
3E89D809   3F769C43
3F4EDABB   3F1F339A
3F81B3A9   BCC31620
3F42E26C   BF1C1AA4
3E7DE152   BF73B747
BEDB5682   BF6702C3
BF5F9C7A   BED791A8
BF79B3FF   3E2C48C6
BF32E6B5   3F4893FE
BD772178   3F82BFF2
3EF91C1C   3F61C5FB
3F783255   3EE645AC
3F6FA256   BE8B7286
3F10D2A7   BF180D7E
