3294F89B  3294F7E4
361B68EE  37E0F097
379A2B1B  38425E3A
394B1A64  39230510
3728BB76  39314DC0
387D8EE7  376B1782
3881E9E1  36180238
381CA392  3839E15A
371C3738  35908857
39BEC2ED  38D749FC
38A610A9  3803B68E
38CA2C0A  386733B6
383638C5  3817AFD0
382CE73E  38B63E01
382F85B8  389E1B1A
361D1C66  39AC7AEE
38AA1DE2  37FF7F91
37BE4ED8  37DB72DD
39307696  37B97B73
37784ABA  3683F623
38200189  36F2A446
37A3CB72  3757621B
363C1258  377C4C39
3911026E  3754DFCE
390E0526  37EBC7D0
38FE4B00  38EA5F1C
38896627  38CA5699
37E08A96  3744FF49
380F5186  37DD4C95
38D81FE0  382EB105
36FD97F9  39851F58
3806576F  38D6D551
38F7AD10  3947EA32
378E85A3  3888B95F
382AE751  3850314C
36B3BFD6  370169F0
38E2EDE2  36F909EA
3968CCC4  38A824B6
3761F14A  38FE5029
393F6258  36E7D86E
36DD61AC  383B5648
3910F02D  37A6C467
36ED4352  368B74D2
37C9E965  36DE2970
38091149  3907E9F5
38941A93  38D36AD3
38897329  397F22F5
38129E84  38E3B77E
372D6109  38A99852
385BA161  393A851B
37D8620D  388888FF
389CE44F  3809E10E
38327ABD  33D35872
38806CD6  388DCB56
37A0366F  38623D68
3909457E  35EC25C6
37F1A669  355EA1AE
37088530  3627E5FF
37DA2C95  38CE470A
39076349  37CE7261
3802C49E  3947F98E
39522419  3894F213
37250129  396FA0F2
37B09153  38EED850
3853A342  3889A009
391ED2B0  381334A4
38701658  3565998C
38981FA2  3840EA18
37708C14  3897EA88
38B07767  389896D2
390DA05C  385118CE
3819D1E3  3882BC8D
397D10D1  38B47796
363C5C4B  385B96AB
3876C100  37DE2FE0
38A0B458  389D2509
37914CC6  37D0FA51
37B0EA7F  38C0EF0A
370E99CA  3802CCBD
38E8616B  390E4368
374AADE9  3736EF4F
391AA243  38AF7E73
389B9A11  36BE6D60
37C8D30A  38CF7469
36DE1D06  3898A8CD
36060270  3800D7D0
36F811C8  37F69A33
3928832B  36E7CC25
384BEB2E  37F39DD6
3610C2DE  38102C9E
3960496F  37E652E3
385B0752  38F25C64
37F941F4  384503DA
38D949E2  37D09FDB
3855126E  35752E93
387F9A1E  385B0298
375D763C  386B3032
37DBD26F  3828F25B
389A52A0  37EBC04C
37B7CAF5  35868F21
3913B499  371C04C8
38B60138  37323D62
37E942DA  37C9E290
39068295  3772904E
37EEF44E  37D3097D
37804E4B  390474C7
391E795C  365793CB
382BEB0A  38933863
384E2353  38319F62
3443DD6C  37033FAF
38C76CA2  371B5A37
37541112  38AD08D1
36E2DC4E  379081DE
382E4BB4  37CC4D50
38926762  388F3076
379BB6A9  378382E4
37B521C5  3816A627
37674AE3  380ECF56
37D8F61C  388E104A
38DCEBC8  38234445
37F2E60A  38938A50
3820F9D6  36FB4C62
39011334  382CC2C1
38490D54  38C567DA
384053FE  37806678
37A4F6BC  390F1EC0
3802132B  38393A3E
38C3EC33  3796A960
3881ABF5  385FBC91
38801793  39172C9A
39110A20  372A124C
38CE885F  3795B489
372C78C1  362E5801
38BDB990  37A79768
399C839B  385C8C67
36B2426C  3691691B
3709EAF2  38A96D23
38011A13  3711285F
3743627A  38640EF4
36A3CD47  37DA5CAB
37AE6BA2  381B3F93
39060A52  390EFE50
3914AF7A  38B023CA
387FE935  378D41E5
38A9324A  392375E0
385B7742  38E4CB65
37648167  384242B4
38C43DD2  37DDCB5F
388E95FE  390EB45F
3890E754  3949E95E
376189E1  36EB8AE5
381DA926  37877AF5
3926EF57  36C2C61E
3774E290  3542ED40
36CCDB11  376A1240
381DC6C2  37F7ED55
38D9DF2E  37725414
361C9957  38498052
37900CBE  381B6127
38C74138  38404F97
38752E2E  37BD7F67
39627B63  34CE3AC7
380567B4  387D3028
38787B02  388C96A7
38ED7B35  37E855C2
3826A310  3818A7BC
38C58A89  3828F968
3746F8F8  37A63C11
3951EF00  38831568
38634C00  381DD35E
384F4E0E  3718A0D1
37B14777  375F2B94
39890699  38C493D5
388CEF62  38274BCA
37622052  389A4495
380C5CD7  371980EB
37FF7891  395B72CA
383DFF91  3739FE67
38BC7A8F  383A7DF6
3825D00A  37DEB629
36BF3DEE  388D4DFD
3634C43B  37AEC5D0
37E40D2A  364FC36F
3910D060  3813718C
37D87E56  386AC767
3828C899  3852853C
3915D915  3996AB55
37BDDA71  37C7D25F
3895674B  38D4449F
38182035  3892C619
380231DC  37D9DB02
38B8052A  36993E01
37148FE2  390B17C6
38E7B030  3812862C
38D8D2B8  3899CAC9
388C1C8D  38A5F33A
38791C84  38CA0C30
391714F0  3890ADC2
3945CEF5  375056E7
378E97A4  38E82796
375A35BE  36E60A78
38D4D510  374C83F6
37746072  3907454C
36D031FC  37F13146
385DEDD4  38951D7C
37A18DF9  3808BA4E
3603305C  37EFF75D
3880B192  393135FA
3906783A  3882048A
369C294E  38B4D99A
382723FE  372641EC
3811FBCA  393EE965
386B9176  38CB715A
35172BD4  376BB22D
3813DDBA  38377B70
3907B86B  388A8E34
37262F2E  38C4E744
387CFFC5  3790A90B
388826F0  39014343
37E4CA05  38A8495F
381724BB  382412FE
37B7A693  39109350
3970C458  379CB729
37B2C33C  389493CD
372ABC98  381127C5
379355D3  37C2FC54
390B83F6  37D3A822
385755F1  37AE97E2
36AE85DD  371260BB
38EBE6BB  38B10DBA
38A02874  3792D8D0
3784CE1E  38958449
38A56496  39264167
37939D5E  377E62A2
372227F5  37D27BCB
37C26763  3831D14D
38080ECF  3691EDAB
37DAEE0A  3839E3F6
38853E31  38F6BDA4
379BA937  3903F5CF
3376F584  37891987
3872C09C  370E865C
38B8419E  384BCC96
37868172  37EB7E29
38B8E77C  389F062E
37429770  390F5C4C
37CC66D7  380A029C
388A158C  3858BF6E
38A57608  368FD359
3850F1D4  36D19704
37D08FA5  384A5D39
37AAD8B7  36CAFBD8
384690AF  362C2530
392C49BC  37AEC2BB
3891007C  39824D1F
384E6D27  38245EB0
37436FD8  3729F5D6
3758E047  38BC9E3D
3887E2F8  389CC472
37BD9975  3668D160
37A5D344  391D3469
387BABA9  36A87D97
384B5A10  3813DD08
36DF1DCE  381C68D4
39652E47  3838DC83
36B09445  396EA984
37B0D7E5  373FD41F
37C7B7C7  3868607E
37589B90  3952BC8E
3841A433  392DEC47
3684B314  3896F4A0
378718CE  380C87BB
379431C8  38BE6878
394C66E0  373D52BA
3899F80C  37FA36E1
3847FA10  373C7C2A
38F6FFAD  3830CF11
37EACBEA  37BF5DCF
37B43F56  375316C4
35C7FF7E  38AE8EEC
368E9840  370BA8A6
3818FB81  37C091A5
37059D2C  393FD9E3
37C40D22  38117E4A
374B7A54  3879D01F
38A0B3F4  388C03A1
38B7B26E  384658B6
38E246B0  37E66746
38927659  38BDF502
3743C717  37A683F8
38EE973A  375FBD28
37C383AD  385CCCFD
37F87532  38FAE0E9
38F35109  381BDB5D
35C0744C  39190DDE
3853C0D8  37169545
37A09213  365586DE
360A7AFF  37E6FE0A
3800C052  38A1C26A
3922A70E  388A9A29
395B6C0A  366921EA
38056444  382591C6
3871B727  37532721
3838DBD7  37256E6E
37D6BBAC  37FA2F33
36FDAD21  38C47AF3
3847A9DB  38C67E52
37C26AE7  3762A710
385BF50D  376C488A
38BCAE32  389369F8
3891228F  34D5B284
38E587BD  38816023
370C1046  380000D5
383645C0  37DE6159
36C04253  391F206B
3642B701  381EF826
38F652D3  38D2F2E8
36EB2F29  38C6052B
3811EEBE  386CB914
38764149  385633A4
37D50536  38CEE83A
38DA70E1  386E4E2F
375FF3D2  3833EE9A
38D04143  38BCCFE0
383F48DB  380A02D4
37B2C152  38F31509
3785A9F2  38BF59D0
398626F8  384B4593
38E7BE69  38AF2B8D
37FE8A6B  38389AB0
37ED19F1  383157EC
3895C438  38D2F1E0
37AB8C74  393A94F2
3901ADD9  355ABFB0
38014FAF  371A4834
3853CA45  3858152D
39079062  368AA243
386D9ABE  3891D5A9
38BB8B08  37836F2B
38B774EE  37C576C1
38F17D2A  388CC8B6
3884DD61  39161B91
38B0AE7A  373CC62A
38BFDE75  382E479E
37F5E6F0  389C26F1
389C5F68  3866BAED
365DF4C9  38BD997A
38A8299E  37AD26AA
364B845A  3786DE7C
37B91009  37F37CD6
389D728F  386AF69E
372F16EC  3861FEFA
37DAAF91  390CC301
3802C7F5  3929A859
37F0BD92  383C2322
35B80AB6  3743CA1A
38BE279D  38E6A035
3699B0F3  38503987
384BB27F  382FBF63
380434CE  37E56D60
37DE5389  371CA873
38BFB5C4  36F17C99
37BB2AF0  3922AA8F
386081F4  37E6B08D
386F0A79  378484F8
374E3AD1  3865E1C1
39256214  3796144F
3798203D  387A66D4
384B2DDD  3839EA20
39088F74  38094995
374037FA  384E19BE
398A211A  38753410
38D147D9  380541ED
39499E14  38B79053
380C2C89  374EC27C
387EFC98  36841240
37C45F47  3897C00C
37A04FC3  3815B886
37F66FA4  37F2E255
38757178  34A2D6E6
36EF6BBB  37C37D55
38D596F8  3860B580
38E3D663  37948D48
390113A5  38004CB8
376C2DAB  374EC66C
3775F89E  363B3695
372050BE  36C394C0
38FE0963  37ECB100
36F4E53C  3831D45D
36A06365  37B3CAAA
38DCBC4B  3903E3E0
3922AF4A  3749134D
385897F9  38E541BE
36F959A0  35D4AC2E
379655CF  385B9304
37BD208C  370CEFD6
3881A15E  38B33A58
3866D34F  384A9A4D
37C374B0  38862918
37CDAE07  381FE2EA
36CE6C9E  371AEDA0
38426D00  37C79073
37D2560A  378B7BA6
35C50098  3702A818
38B4493F  363B5382
37956D11  382F9B37
381E83F5  37D65191
384FEAD9  39209F7C
391A703D  37F205AC
37B8E0C8  37D8734B
388CE737  38220E1E
372CFB26  37B82591
380BB3DC  382FE12E
382AF824  3627ECA0
378C598E  3864F09F
38B1A351  3861FC0C
37162DCB  38BD12CF
3908F0F0  38FEED26
382E46C8  38A00A18
372D3FC1  381EFF0F
37EEFD46  381E6D29
370F9E82  389E24CF
37517840  38D14234
371CA5B6  34604A64
371522B1  37A5F107
37AAA24C  388D110E
377234C1  375C7425
3936E51D  38515CB7
3865627C  38E00125
369206EE  37589A53
3803E80C  38C74856
38007DA8  3741EE1A
3914AC86  391C1D3B
38037982  37DC3ECE
3815FA01  3768C62A
39234857  371AFEB0
3772EB30  3742DFDD
36D19726  3941CBA8
387DB1B4  37A3532F
38D8B074  3751B559
37EE696B  391E2FB8
37B78D87  379DBE9A
3604D320  36F90F12
3881930E  389DDC43
384B74F4  3802EDA2
38813C1A  38AEDF68
37B8EA40  386CAD94
3931DCC6  377EC4D4
377F2CA6  35EFFC67
381984C7  394392A8
37919544  37FF4AAE
3901B381  370E8FD3
376F8660  35E21FC1
38B979B0  389640CC
36775591  37CAC51F
37AD5CFD  3708F1A4
38CD16A2  38BC1152
37E14800  387544DA
382CBBC2  39462821
37623389  37E28368
37C15DBF  3798BC6B
35193CB2  373E7269
3916EF8A  36C393B5
3855C722  382D9D58
365F0021  384656CE
3879F9DE  398415AA
3668FB87  38170132
390382CA  37E0A6DB
3808B9FC  38E9FA12
37E2B98E  38A2136E
385B1829  3913F2E3
35F9E761  38DB90E6
36539D24  3890CB60
37426C50  36EFC4F2
3699D7FE  398226B8
3786D6DA  376305BE
3895CB8C  397E3845
3828B957  3894776A
36CD5D9F  3746E1F4
38E7DEF1  380AC368
38A833C8  3817CEC8
387DBA27  38215018
372E5195  3861A9BC
37EEEE52  38024619
38938D0C  3810CAE3
378C4925  3963EABC
3942903A  3936E640
37821259  3859731F
38F0BF00  3803BA41
3882F021  387A6D12
36575721  379ABBF9
370F65DC  3846BE8E
3876EBC8  3899124A
38E2A889  381CE3A9
37A7665F  375AE0A4
38355132  380A90B9
38D6247B  3820C29C
383B660C  389775A0
37AB8258  380FC3AE
389D9858  37CEF526
38CD3F9D  375A69A2
393CB775  373CBFCE
399C9994  3827C9CA
38AFD3E0  38344F3F
358004C4  389877BB
393870F4  38C32E61
3862DBCF  38C2B74A
3783E0EE  3934A586
387D1AD9  38245FDC
380F71DF  36D7C601
3899C6BB  3861A408
37ABBDCE  389E004A
382BA9CD  37CDADF2
3861DB5F  380D17E9
37617D76  38522CF5
37F958E4  3909A070
376940B6  373DFA08
3847060F  38ABDA9C
39244C64  374D8D16
38A694F6  37F2E6AC
38DCE1AF  37A4ED35
375F8172  378D29F6
3723E5D8  35EC00E3
3835D783  3889C558
38A8B388  392D1A82
374300B8  38C14B95
36F2D6F2  389263C7
38AD9029  3817D086
36AF155F  38EBF470
361FDF8E  383379DD
3635F71B  36FA3C7B
37CFDF90  37072A8B
38867A7C  39179868
386AF5BC  38B33F24
38F1A4C2  3829E0E3
389732D6  38268BB8
38966CAD  37342887
380DC825  352F3258
38C06C8A  385AA8A9
3911D54B  38A64A6A
37813522  38224AE6
39268430  358BD7FB
391E4DE0  37EF8904
38F6474F  38F693A2
38A19BEA  3906DE56
3891EAD6  3740E28E
38FBE1BA  38303A29
39161EE4  394D1E78
38E5C9BA  360BA00F
37E32457  388FD147
395B351A  387B2B60
37AF16DC  3821B0DC
388803FA  38A51C08
370861FB  38C464CF
3938E087  380F43C9
376AC920  38EB553C
36F63223  3745141B
368F5467  38CC4928
383CDE64  387760A3
37758609  3732DA52
3821C22A  3844A0CC
35993276  378F7BD4
37B188E5  380A68FB
388BC43E  36CF7E92
37BE146B  38736010
39577B72  387EF4A0
371A2AF7  389B104C
371FCEFA  3809A0D5
378F00B8  36BE4B2A
35B31C74  380C92CC
380A2A3C  372B6AD0
3618FBA0  3863EF98
39135D07  39034AC2
375C34E8  36975434
37AB9F47  34C31758
376A4305  37E36816
38E04695  388C2B67
38A92EF3  37218FE3
3851A0C1  38966AAE
391418ED  392798A8
367614BE  36C3E6B5
37A8F06C  3812E599
3907EED0  37D026A1
39068808  390A3A69
37270A0E  3872B82B
3792E6F8  38B0E744
3856AAA7  3892E842
388FAAE8  38C2EE10
38D77B91  3904856C
39237A86  37B313DE
38075E29  379AD568
389E2B30  38E4AF8E
36D33323  38276B69
37C1AAD2  385D76E0
39A53AE6  369A24CC
38A3BC57  3825D9BA
381320CD  38027E27
38E05BDF  390C06E0
3747C17F  37CF0776
387C3F5E  390381B8
389A0B70  38A5F39C
38CCCDF9  392B3C10
38122963  389462B8
3832AE39  391E6300
3780FED0  36954380
38941BE1  37F6612E
37DF4D87  37C42887
37735124  3769887D
373AA3D2  38379214
382D3CAA  3843984A
38A1CBCE  383C4CDD
380F5D87  37B47918
396CBF9D  37D71700
381E8122  38256B36
39A76FB8  36F4C61C
37BB5F94  37A8D3C4
3929A960  38C0DB25
3800B79E  35EE852D
36F4BD6F  36CE0D9D
379732C4  38551C92
377A35CA  38A9059E
390DABA0  385D9D8F
38FA0506  37E98F6E
38269954  38BC51D0
38894432  38B6CC21
39018CE9  3816FB4E
36EBD85B  35B25E23
38AF83A0  38E315CE
38BBD0CB  366F11F6
360BD6CC  3882B1D7
38145334  38FFD26E
37DC5C49  381C06CF
37438692  37DB9103
391A1729  36DA6B68
3821059C  39040CB3
38D6790C  3865B093
3897098C  370DBE40
3677865F  37C347A4
392189B9  38CDE16E
3925F79D  36FD62F0
38B40507  38D3436C
38A623E8  3775D464
3892FE40  384C787A
378661FB  382E4050
3638EE61  36E190E5
385B2312  3608DB6F
389D4B7A  37CE976A
38003A01  38697A24
37787D16  39B58F44
383EDA7E  37C85447
38D796C1  390F39F9
3892A1B5  39446AA7
37CAA003  3801729B
386A5FDB  36D44E2B
3871859A  373A4772
3886C3D1  36BF61B0
3831A5DC  38E58072
382A9E5A  38F666BD
38BA046C  38F20EC2
37D5F632  394AAE11
38DADF72  3901A8B5
39514158  3843F3A5
38A8C89E  38546B52
38C45740  368ECBA7
37804C0C  37CC7549
37A195F1  38442582
3753E280  375DF77D
3813B20C  35B49F00
37DF969A  3882EC8F
3846A2AD  37B32256
38D6BF80  37DD080C
373396E4  38512EF7
387683E4  390FBB39
390E020A  38A607E7
3871A509  37A938DE
39186BEA  385A2A98
38CDFE25  38422D5E
36DFC064  388DEE08
37B1A3DF  372FE4BD
37AEC68A  3786D864
395807D2  37E5F6EA
371032C6  37B7843F
38B6B9EA  37BE7712
3915F9C8  3733CB50
38A76DA7  37F43C84
3783AA76  36EAC005
388FEBCD  36DC950A
39219D82  38839CF0
38477DF7  389A6CCC
372BB848  361BEFC5
37A1EB68  381199A8
3915BFEB  380459A4
375D6E72  381317EC
384698F6  3903EFFC
38C3ACD2  3730D482
37CADB6E  354F1EBF
386D6886  38C0FC66
371A071E  381C96AA
38795AB3  393E8ADA
389C0C1C  370BA2BD
382B1A5C  3856BF61
36AC261E  3587217E
3828508E  38BE8E11
34181FEE  37630F9E
39184B66  395C1597
388269F0  37E7D5DB
363014E8  368031C7
3944E9A4  3895D872
3842EF66  38B5CD6F
38B6E518  3889BABA
379C0795  389EA788
36FBDBFC  380138E3
38972507  37E5EF0D
385586CB  37196F03
3835E74C  38502EA9
38552016  394953E1
3924680A  37CAE829
38D9337E  34AD3773
38925AE8  389759A4
36438CEE  36D1C1B3
381C3FA1  38968A22
386F4E32  3803B30E
38E09A4E  37169058
38076FC0  37551D3D
3873D172  389FC680
38A45C80  38C22DFC
369816F8  39973A85
37C1F0FC  36B60FF0
38F69B23  38CFDA5F
35B05014  3672011E
3908AF8A  38F3365F
3954C727  38B99DED
383A73DB  38609325
38B2945D  37D17648
37E0EFDF  376BE9F1
36CACE92  3927F0F8
37417877  380893B7
38DAC7EA  37804DC3
3788C96C  3843CBB6
3825B599  390C8AEE
38D58A72  37A9D870
3845112D  37F23871
378205BF  35CA8290
37A42311  37272AFC
39054886  396AD9AA
3828EB8E  389A4863
38CDE30B  378A2636
38EB7E49  32896322
37744440  36DD8942
3892ED76  389FE119
3917A263  330B7C42
374F8BE3  390453A9
377FD6ED  3822F05D
38892879  3710A4FF
384BCC96  3804A5B1
38B8EC18  37758E71
3800B99A  37D94186
34B42768  38E15338
37F3DE2E  36FD958C
38917F92  380324BE
38E830E0  36EB6AD6
36D94AA0  380ACDD4
385F9346  38333AF6
38A7E4E6  3841049A
36C42AB6  388B84F3
395DC12A  3880E094
378E08CA  382E9B77
365C3062  38B6DF25
389C83FA  392396D4
3816E8E0  3735FED4
36A0AA12  3755077A
390A5B1F  37F0A506
37EA137D  383A481E
37227778  3788BBCA
38E81D6C  36483223
390C6C02  37C2C096
36EA6D38  37FF6BB1
38E4696C  383C324A
36F14349  38888888
35E4356C  387F37DE
38E9CA49  36455BFC
389D162C  3923AD68
35ED3E01  382D1A40
3902E890  3713B11D
36D7F850  3930F72F
380CBCDC  36AD095C
38344F83  37701DF7
37D6B975  38FA40F9
38848862  3803B8BE
37FC31F0  38AE53C1
37D64C98  383825FA
38A33502  3763353E
38D22094  36418747
364E84B6  3869CAEF
36DBD950  380BBAF8
3817E44C  387C45DC
38BACEFA  3796391E
37AC49E8  36B97D8D
37C61713  38514FA2
387D87B0  3931560E
37BAF4A2  37E08EB4
388FF409  37E8A220
39296BAC  3730C5B9
378522FE  3890F641
37E151A3  38C967B1
380ABF8B  37D7729A
373D7CC5  3878E370
38039A84  38AB3D8E
37734413  3819E32E
38A99EDC  3665DE44
3874D8EF  38C35FFA
3949E6E8  37B3FC77
38BA747A  37879EA8
379EC737  3786751D
37FE7A94  39064F65
36A3A094  38016078
3862EC63  38051110
37592B7B  38857BE4
3836B944  37CDCCDE
37A954EB  388A1647
377FF4F5  37A388E4
38C6F65F  380B36CF
38027CA9  389FCC48
381505E3  3889F3EE
384C5CB2  398BC7F7
3731D67F  382246E4
37062D5E  38B0F5D2
37C7E370  3702A47E
38C15F3C  3930ED70
38EE6918  389CFBC4
3835D457  3869ADF9
371CD50B  378FAA9F
381969E3  38329E0B
379B9C71  378493F2
383531C7  3830A3F0
389C8AA7  39183E3A
38351CB6  38501479
37C9A4A8  3791FC89
38C94F6A  392FC456
379DD9F2  390D500F
37927BFD  381DA58A
38CA6763  369AD705
39819162  3729EC98
38E2D56E  3993E518
38BFE1AC  38F002F2
35DE35C1  3924EADC
37C25B59  39563642
3711D5F8  38C90A12
38A93F40  3801ACC4
370D7FF6  37725E45
37E00901  37FE53B5
383B0181  39028615
3890C628  3787C411
38973038  37AEAC92
37367D76  385B06BE
380B1287  395B72F9
3571EA65  389F62E6
367D9546  385B245E
378E534F  38E5EF97
38975A4E  390DBAD9
388285F7  37626A7F
37CB5645  374B4D56
37F73923  3923CDE7
385E92A6  398EFB6C
38245508  371593AE
3801AF70  3623C34C
374F04BE  37CA0215
39353A7C  381BEEF7
380954C4  37C343B7
394D7A50  36FF17B4
381CE7CA  382A00CD
38B8C99C  39969306
360FA48F  37C53FCB
375A9A02  37F6C87E
374F4228  37D0E76B
385C870E  380D3CE2
38042B66  38B7729B
392D9F4A  387A2CF5
37E0D950  3915874B
3875F764  36CDB124
38A84213  3933ED33
37ACED72  37B4FF08
37AE3DFF  37265AE7
38073655  378A918F
38746EB0  38330035
383DBEC2  3688CE66
36EE42C4  373835BF
3797DFA4  3772250A
36178C48  38132FB8
382DD825  381D2810
3753EF68  368FFDBA
3759E0F4  38CB465C
3954BF79  37BD266E
38722ECC  37823A80
38155109  387EEF57
37393CAB  37993F21
38A45EC8  38BA58A7
379E1B55  38257AC6
3727358E  38E5DD0A
374288B7  3893B5BA
38B74A77  382225F9
362A7873  3994B15F
381083AC  38019D36
38E31006  36ADCFD4
3902F0D2  3874A24F
37B8ADD0  38FD3B98
38B3B7C1  38C4EFB5
379FB335  3907644A
36DBA1C2  3870E666
3933BB57  37DF85A9
39220F0B  37A7E205
3789D78A  389C79EB
3726AC9C  388BC8B4
3852BF2B  37556AC8
3846A7B4  38BC4CC8
3831C667  37FECF75
3890C80B  377A4013
390FB605  377ACA6C
387DBCC0  36F10A63
38EB6B08  39817680
369F0745  381F1327
36A5B31D  384C9E2C
3896AFFF  370F85F4
3800E0CC  380B286B
37B6923C  38AEA995
37EC3DE8  3919B92B
389B5825  3557C7B7
39381D37  36357D9E
395E0F00  38BEF5D5
37590DDA  37301DF4
3728F06B  38301A1A
38B91D5E  379D1AA7
38DBF3D8  390807F8
37B363EA  35A66D5B
375EC5E9  3898E99F
3728986C  387FA72B
3735ABF6  38A3E48C
37190262  37A08412
3857FB17  37FB55D0
385FFB2A  37096B22
386A3140  3689D1D4
398958D0  374CD0EE
37A28613  375753CB
38E562C0  383321FC
38AE886E  3936B0A3
37D2B290  3809C75D
378B9C6A  39193F08
38BBCCCF  3741C08E
38EFD304  392842B2
37E6D6A2  3910FCFD
3821C228  38B5E6B1
37577198  382A8FDA
39004EB9  3869531A
37A1CFE0  3810C613
3844AFD4  38B3DB46
38853DC0  389D0B16
36054A4A  384DF406
382A6178  389AF67B
370E1DB2  3847D4CD
36D7C60D  38CC2975
387DDF9D  385A527F
37A18F5D  37C514C3
32BF0694  38D988D6
37C473E6  3931156F
397AA504  37248194
38CE8102  391186B3
38B31A4D  38E21A58
387F4BA0  37B17F50
390F2354  385AEA80
390D06F1  38D64E3A
3825C5EA  387FA6A9
390AB0CA  378B49A4
3752670C  38022F96
3773FB6F  38D742B6
390CA1A2  394BD03A
38B96637  38E44EF8
36AB3A5E  37AA15CB
37B84DBE  388CA830
3826DFFB  384DC588
383C9E1A  38AB3893
37175E44  38089B0F
37E6E00B  37FBCBAF
376CB633  3881F67B
378709CE  391463A9
3895B86A  384D0F94
38389B74  38948036
38F892D8  38984323
3768943E  389465D6
38A41292  37D7CEE6
3911A502  38AC94F1
371B99DC  357193F1
38319700  385C79C2
38DE7259  382EAAC9
37C78262  37DC85FC
38CDB906  3811E546
380DC91A  3883E2D2
37A5B851  390878D2
37CAB341  38FE4F60
381A2641  36DFC68C
393C137A  391584A4
38A5FA79  387C6300
362F2783  384AE3F5
380A8549  388A776F
37D9B0D8  3813D324
397398F5  38B839AB
37A8DAC7  38FB0CB9
38CD086C  38ADAE32
38ADD3D2  372D8BF2
38C85559  369F99A8
39437C1E  37F36552
3815288E  3991E6CA
37625142  371C6ABE
361858C9  38D86607
36E57ADA  3762D9C7
377156EF  37A13552
38B33331  38EBA38C
378A9D57  353A462A
378FCCBB  36303C06
37970351  391F8C53
38437829  38A30158
3960CE76  38A32AA4
3900806A  37F9B0CC
3846C4A7  37A50943
38BBB810  3819CEB2
3860F9C4  374A1D22
391F2CD4  38998119
382999F3  383DB717
374B8C14  38D25AE2
388840BD  379CA6CB
38B39DA3  38A436FA
38BA5BB4  376594F6
38B7C499  3870D3DB
36B49038  392CF792
3813F563  374E65B7
3821C507  385C9D6A
383F33B3  381DA1EF
36FC37DF  38851C4C
390985D0  3843C5D6
3947E5C7  38364262
382FFB8D  389FCEA3
376EC323  38141614
3614916A  3803FF3E
3776F4FA  380D6C7A
3873B52A  388A1087
37F494A6  378C7488
34D26967  37480302
3833E280  384DC398
3781A62A  3901EFB3
38232380  388437B5
37D01AC6  38A92C6F
361C1389  388B28C5
3859938D  38D1B810
38025A16  36C133AE
3872E221  38AA6961
385266ED  38D70BBD
39A96675  36C1B382
3814739E  388A96B6
382203C8  385EF4CA
3810B6B2  397E5EE7
38BFEFCC  38528B4B
3710FDB9  37C8C33D
381E50B5  393A6770
384884A4  35F2DAD6
384A9039  381AD4FC
38DF26B6  3878CE00
3908DDFE  382693AE
3997F1D0  369292F3
39238075  36C4A54B
37ED6FA4  38B8923B
380EB870  371FC6EF
3719F735  38C0EC73
37FD91DC  369E1DFD
37AA2E1C  3918A77A
37CDCAD4  3801B5E9
38B40E7A  37D450EA
37AFDD1C  39365014
381FBB4A  380F247D
3820B81A  396828C5
382BE71D  37AF5601
37485748  363060D8
37AA2A49  387A0037
392CD5B3  3822837A
37B54F96  38A4C3F6
39612789  360B9AF6
3858D098  36E18BE0
3676BD17  382488CA
362B63AD  385DF6E1
3726E2DC  37C38EB6
38D42032  38B07823
3866C47C  3842EE12
384304D6  38B6C917
3873BFA6  38384D0F
388747A5  38B7DB50
378BBF62  36BCDA6E
38876F23  3863E18D
3718B4D7  39097126
388B5D26  388FD68A
3907C677  37CB7E17
3812795A  36965F7C
394D2C48  38956395
3952324A  37F0023A
3822F421  37D23601
38B3F844  392F3902
368A7B1A  381B1274
390A913E  36C810A0
386AC9EE  388502EA
3733331E  379C144B
392AB9E0  38F437EC
38A0FB7D  3815776F
37FEC659  35B05350
399DB07E  38999C9B
387CD510  391AE913
38996F45  3826C586
383FE8CE  38000FAD
36A1619A  386DCC17
387044EA  39168829
38D3F1B2  37E958C3
394D6D01  376FD34C
390C5D54  38F9D66B
3899D26A  37F564A1
38B77494  37146B4F
38723412  37E65560
373084A7  388AE758
38D12315  3892E102
38017807  37588C96
3840862D  38C6CF13
38111D7F  38F2BE86
372CBD49  380BF8A9
364F097A  391E24EC
3794B906  3696F608
37F45473  38794369
3844A70E  39393225
393FAD9E  388011FE
33F7E451  36C6F2BC
37A8B4C3  37847FEB
37626448  36A12721
38233BFB  380F2EEB
37A0F172  3768D943
383BDC87  3705C2B5
384ED923  37E55704
392F4F1A  388FA847
38592456  3946A99E
37A60CC2  3798A680
37DE6497  38448B8E
37690ABD  3936627C
3949371E  38B801A2
38279A4C  3893B3F8
38F51C65  3902ECF1
38D10E79  38801A14
390FE176  36A6A1AA
381CC906  381B957D
37A949D4  368A046D
37E626B9  38CED5B8
38866CE2  37CC0BC7
3793CA35  376FAC75
370AB260  3793D969
37B2C7CA  3720FC3C
3793C97C  378C2BCC
389A2681  38C44854
38A38D00  37831382
3748396E  38F70CEE
3637A7D8  38BF7980
38375258  37BDA344
38A33D2D  3670AE41
3800DD96  386560BB
37CBE0AD  3670488E
365A3992  3751071B
37A85305  367351BB
384BC177  395BBD51
3857968A  39089C1D
38EB33A4  3862111F
38CF3DD7  37B397C0
37C280C0  35684159
3973F9E0  3829375C
